,name,date,city,state,country,latitude,longitude
0,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-06,Miami,Florida,United States Of America,25.957928,-80.238866
1,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-05-15,East Rutherford,New Jersey,United States Of America,40.81359,-74.074493
2,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-20,Inglewood,California,United States Of America,33.950529,-118.343767
3,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-05-31,Washington,District of Columbia,United States Of America,38.873005,-77.007412
4,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-13,San Antonio,Texas,United States Of America,29.41705466,-98.4791514
5,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-30,San Francisco,California,United States Of America,37.77840589,-122.38944009
6,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-04,Orlando,Florida,United States Of America,28.538255,-81.402071
7,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-26,San Diego,California,United States Of America,32.78451,-117.1212
8,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-28,Las Vegas,Nevada,United States Of America,36.0909,-115.1833
9,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-11,Arlington,Texas,United States Of America,32.747242,-97.083796
10,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-05-13,Charlotte,North Carolina,United States Of America,35.225789,-80.852829
11,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-22,Phoenix,Arizona,United States Of America,33.445899,-112.071313
12,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-05-22,Detroit,Michigan,United States Of America,42.341089,-83.055434
13,Shakira - Las Mujeres Ya No Lloran - World Tour - Platinum Tickets,2025-05-29,Boston,Massachusetts,United States Of America,42.3464072,-71.0986584
14,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-05,Brooklyn,New York,United States Of America,40.68285,-73.97519
15,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-25,Washington,District of Columbia,United States Of America,38.897412,-77.020029
16,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-12-06,Brooklyn,New York,United States Of America,40.68285,-73.97519
17,Shakira - Las Mujeres Ya No Lloran - World Tour,2024-11-03,Palm Desert,California,United States Of America,33.825315,-116.542747
18,Besame Mucho,2024-12-21,Los Angeles,California,United States Of America,34.07359365,-118.23992227
19,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-02-11,Rio de Janeiro,Rio de Janeiro,Brazil,-22.8797788,-43.2216954
20,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-02-13,São Paulo,São Paulo,Brazil,-23.6002654,-46.7210506
21,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-12,Guadalupe,Nuevo León,Mexico,25.669187,-100.24442
22,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-13,Guadalupe,Nuevo León,Mexico,25.669187,-100.24442
23,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-16,Zapopan,Jalisco,Mexico,20.681796,-103.462611
24,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-17,Zapopan,Jalisco,Mexico,20.681796,-103.462611
25,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-19,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
26,Heineken Garden Lounge,2025-03-19,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
27,Heineken Garden Lounge,2025-03-21,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
28,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-21,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
29,Heineken Garden Lounge,2025-03-23,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
30,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-23,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
31,Heineken Garden Lounge,2025-03-25,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
32,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-25,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
33,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-27,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
34,Heineken Garden Lounge,2025-03-27,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
35,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-03-28,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
36,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-05-20,Montreal,Quebec,Canada,45.496129,-73.570472
37,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-05-26,Toronto,Ontario,Canada,43.6439254,-79.3783234
38,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-05-29,Boston,Massachusetts,United States Of America,42.346901,-71.102501
39,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-05-29,Boston,Massachusetts,United States Of America,42.3464072,-71.0986584
40,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-15,Houston,Texas,United States Of America,29.7520386,-95.3623133
41,Shakira - Las Mujeres Ya No Lloran - World Tour,2025-06-15,Houston,Texas,United States Of America,29.759399,-95.362999
42,Ticket2ride Shakira,2025-03-27,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
43,Ticket2ride Shakira,2025-03-21,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
44,Ticket2ride Shakira,2025-03-19,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
45,Ticket2ride Shakira,2025-03-23,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
46,Ticket2ride Shakira,2025-03-25,Cdmx,Ciudad de México,Mexico,19.405199,-99.095618
